VIN,VB1,C0_value,R0_value,L1,W1,L2,W2,L3,W3,L4,W4,L5,W5,Power,Gain,BW_3dB,UGB,PM,GM
293,740,2,3,938,63,824,11,612,44,179,87,196,10,1.17E-04,5.65E+01,4.06E+04,2.54E+07,1.13E+02,4.12E+01
344,752,2,3,648,63,742,13,612,44,179,88,196,6,9.30E-05,5.59E+01,4.06E+04,2.54E+07,1.08E+02,3.98E+01
633,736,1,3,926,63,824,15,612,43,179,88,198,10,1.40E-04,6.02E+01,6.32E+04,6.14E+07,1.02E+02,4.00E+01
290,752,1,3,932,71,572,9,601,46,204,88,195,8,9.87E-05,5.93E+01,6.32E+04,4.80E+07,9.39E+01,4.01E+01
709,746,2,3,909,67,642,23,602,31,181,88,115,11,2.45E-04,5.91E+01,4.06E+04,2.31E+08,1.10E+02,2.97E+01
250,808,2,1,914,67,833,18,602,92,179,89,113,7,5.60E-05,5.27E+01,4.06E+04,1.28E+07,7.81E+01,5.05E+01
276,775,1,1,925,66,716,14,607,98,631,91,112,11,5.14E-05,2.65E+01,5.77E+05,1.28E+07,6.85E+01,4.65E+01
294,739,2,3,926,63,810,15,594,44,182,80,113,10,1.54E-04,5.18E+01,6.32E+04,3.95E+07,1.28E+02,3.72E+01
631,752,1,3,931,67,572,7,602,46,359,88,198,5,6.21E-05,5.85E+01,4.06E+04,3.09E+07,7.87E+01,4.14E+01
631,770,1,3,981,67,564,9,602,53,171,89,198,9,8.12E-05,5.79E+01,4.06E+04,3.09E+07,8.86E+01,4.64E+01
217,791,1,1,915,67,580,13,594,92,179,89,144,13,7.76E-05,4.06E+01,3.71E+05,2.54E+07,7.33E+01,5.01E+01
308,875,1,1,902,67,629,16,632,42,184,90,108,19,4.13E-05,5.09E+01,4.06E+04,1.28E+07,7.66E+01,4.80E+01
290,752,1,2,932,71,538,11,601,45,204,97,195,8,1.16E-04,5.99E+01,6.32E+04,4.80E+07,8.32E+01,4.16E+01
709,768,2,3,909,67,642,23,602,31,181,88,115,5,1.24E-04,3.11E+01,5.77E+05,1.63E+07,1.11E+02,3.39E+01
249,872,1,1,890,66,629,14,598,43,615,89,108,24,3.02E-05,3.55E+01,1.53E+05,8.19E+06,7.63E+01,4.56E+01
317,796,1,1,923,64,744,14,538,98,199,88,112,10,5.83E-05,3.86E+01,3.71E+05,1.98E+07,7.37E+01,5.29E+01
274,928,1,1,926,63,629,14,535,43,184,89,194,19,1.10E-05,5.09E+01,1.68E+04,4.32E+06,7.00E+01,1.88E+01
608,736,1,3,926,66,824,14,611,43,178,88,113,4,1.15E-04,5.93E+01,6.32E+04,6.14E+07,9.33E+01,4.03E+01
631,752,1,3,925,67,829,9,602,44,178,89,198,8,8.25E-05,5.70E+01,4.06E+04,3.09E+07,9.08E+01,4.75E+01
632,729,1,3,974,62,566,15,612,43,181,88,154,10,1.98E-04,6.00E+01,6.32E+04,1.49E+08,1.03E+02,3.46E+01
275,796,2,1,914,58,833,24,594,92,161,89,113,9,8.58E-05,5.31E+01,6.32E+04,1.98E+07,8.26E+01,5.13E+01
250,810,1,2,915,67,580,16,602,88,179,91,113,6,6.17E-05,5.57E+01,6.32E+04,3.09E+07,7.06E+01,4.63E+01
290,752,1,3,932,71,572,9,626,46,204,88,195,8,9.94E-05,5.96E+01,4.06E+04,4.80E+07,9.35E+01,4.05E+01
631,770,1,3,964,67,572,9,602,53,171,94,198,9,8.19E-05,5.82E+01,4.06E+04,3.09E+07,8.86E+01,4.60E+01
279,796,1,1,924,67,616,14,602,93,654,91,112,20,4.68E-05,2.23E+01,5.77E+05,8.19E+06,7.26E+01,4.83E+01
277,847,1,1,889,65,714,16,542,41,114,89,109,9,4.90E-05,5.49E+01,4.06E+04,1.63E+07,7.22E+01,2.53E+01
344,704,1,3,648,64,754,13,615,42,179,88,100,5,1.84E-04,5.71E+01,9.84E+04,1.16E+08,1.07E+02,3.38E+01
229,881,1,1,889,66,631,15,531,44,179,87,194,19,2.82E-05,5.35E+01,2.61E+04,1.05E+07,7.08E+01,2.18E+01
632,736,1,3,926,63,827,16,601,43,170,88,201,10,1.44E-04,6.07E+01,6.32E+04,7.48E+07,1.03E+02,3.92E+01
631,770,1,3,977,64,572,9,612,53,179,89,198,9,8.05E-05,5.77E+01,4.06E+04,3.09E+07,8.86E+01,4.65E+01
